transaction_id,amount,transaction_time,bank_code
103706550096,7323.70,2026-01-07 20:00:00,014
101009484649,2762.09,2026-01-06 15:00:00,014
101776080106,1904.65,2026-01-06 00:00:00,002
101599716204,8088.33,2026-01-03 17:00:00,002
101365054846,7404.98,2026-01-10 16:00:00,014
101403120755,976.58,2026-01-08 05:00:00,008
101988307854,7840.53,2026-01-08 19:00:00,002
101407337653,3534.00,2026-01-07 18:00:00,002
104280330528,7842.02,2026-01-04 00:00:00,008
103308177510,8735.41,2026-01-06 07:00:00,014
101233477802,8186.01,2026-01-09 16:00:00,008
101194100004,1509.85,2026-01-01 23:00:00,008
101268536349,9318.06,2026-01-04 12:00:00,002
101428501351,5016.48,2026-01-05 12:00:00,008
104058857925,5363.99,2026-01-06 06:00:00,014
103322362964,613.26,2026-01-08 18:00:00,008
101876794623,3027.72,2026-01-07 02:00:00,002
102131670355,4523.36,2026-01-02 05:00:00,008
102848868919,1148.74,2026-01-06 22:00:00,002
101073389125,4871.39,2026-01-07 13:00:00,008
101916535810,7998.16,2026-01-08 11:00:00,014
102605858880,6098.06,2026-01-09 21:00:00,014
101000131993,5590.00,2026-01-04 21:00:00,014
101829657869,8585.45,2026-01-04 05:00:00,008
102424602070,7966.52,2026-01-02 02:00:00,002
102242679654,3321.06,2026-01-04 10:00:00,002
101951433061,2527.06,2026-01-02 23:00:00,008
104236909190,6983.03,2026-01-07 11:00:00,008
103192516817,5031.54,2026-01-09 16:00:00,002
103178992644,5121.32,2026-01-02 12:00:00,002
104011271153,6204.77,2026-01-09 15:00:00,008
102430339733,8531.39,2026-01-06 17:00:00,002
101572624010,8259.38,2026-01-05 22:00:00,008
101197943778,5549.12,2026-01-01 06:00:00,008
103079183363,9641.17,2026-01-06 18:00:00,002
103121697892,4693.46,2026-01-05 10:00:00,002
104206236296,5055.59,2026-01-02 08:00:00,002
101008995306,1930.14,2026-01-03 16:00:00,008
101723185609,6511.28,2026-01-05 05:00:00,008
102069848107,7413.92,2026-01-02 01:00:00,008
101143689884,8210.91,2026-01-05 09:00:00,008
103360496779,2164.61,2026-01-08 21:00:00,002
102490873489,1807.52,2026-01-01 08:00:00,008
101875023654,8066.71,2026-01-06 21:00:00,002
103689663890,4970.84,2026-01-09 08:00:00,008
101235808727,3399.77,2026-01-02 18:00:00,014
101120794067,3032.42,2026-01-10 00:00:00,008
101364447012,1114.53,2026-01-08 23:00:00,014
101107604043,1270.91,2026-01-04 19:00:00,014
101517130688,4786.93,2026-01-08 08:00:00,014
104261440468,7564.02,2026-01-08 19:00:00,008
101570126101,2365.40,2026-01-10 01:00:00,014
101357254242,3686.97,2026-01-04 02:00:00,014
102557589748,9684.69,2026-01-04 15:00:00,014
101893596920,7125.94,2026-01-10 08:00:00,014
102480184523,3319.53,2026-01-09 18:00:00,008
102088369028,1664.54,2026-01-06 23:00:00,002
104053760958,2655.87,2026-01-01 18:00:00,014
101736767727,219.33,2026-01-03 22:00:00,002
102410083130,6761.94,2026-01-06 12:00:00,008
103151314998,754.92,2026-01-04 22:00:00,008
102352676160,8359.64,2026-01-04 02:00:00,014
101276705330,3410.03,2026-01-01 20:00:00,002
102403176259,7969.04,2026-01-10 11:00:00,014
101251726567,7474.60,2026-01-08 19:00:00,002
104109365388,8058.12,2026-01-02 18:00:00,014
103010493561,1545.85,2026-01-04 02:00:00,014
101512142406,6271.43,2026-01-04 15:00:00,008
102458174466,2161.01,2026-01-08 17:00:00,002
103595121007,3544.44,2026-01-08 12:00:00,014
102943050928,6844.17,2026-01-02 16:00:00,008
101336996672,251.66,2026-01-10 04:00:00,014
104026217089,6472.81,2026-01-04 22:00:00,008
101784686111,5646.29,2026-01-05 22:00:00,008
101727846803,8078.55,2026-01-06 06:00:00,014
101851775371,8008.40,2026-01-08 04:00:00,014
102528738090,1629.69,2026-01-08 10:00:00,014
102701062402,4223.33,2026-01-09 03:00:00,014
102539087212,3999.64,2026-01-03 21:00:00,008
101719104412,1845.01,2026-01-02 19:00:00,002
101262016905,3611.21,2026-01-03 13:00:00,014
101366880225,4864.48,2026-01-03 12:00:00,014
103865044546,6870.46,2026-01-02 07:00:00,008
102217480109,2351.30,2026-01-01 21:00:00,014
101040721277,5489.38,2026-01-07 03:00:00,008
101459510550,1037.28,2026-01-09 15:00:00,002
101595937613,1600.89,2026-01-04 20:00:00,008
102271266470,8152.93,2026-01-06 16:00:00,002
101906722291,9405.93,2026-01-09 22:00:00,008
103380928259,2744.49,2026-01-02 15:00:00,014
102674674699,7272.49,2026-01-04 18:00:00,008
102255158064,9361.13,2026-01-03 15:00:00,008
101425290296,6488.09,2026-01-09 00:00:00,008
103804659413,7492.51,2026-01-08 20:00:00,008
103775594953,4687.13,2026-01-06 10:00:00,002
103546620743,8921.00,2026-01-04 17:00:00,008
103217782779,9857.90,2026-01-09 05:00:00,008
101644276115,4226.81,2026-01-07 07:00:00,014
101484871195,5611.88,2026-01-04 23:00:00,008
103535510791,920.51,2026-01-04 14:00:00,008
103355917779,8672.59,2026-01-04 23:00:00,014
101403090602,3625.84,2026-01-09 06:00:00,008
103380543787,6482.75,2026-01-02 09:00:00,014
101763229081,2479.53,2026-01-05 05:00:00,014
102603029783,5725.44,2026-01-09 12:00:00,002
101994928336,3857.30,2026-01-03 13:00:00,008
103661982674,8502.05,2026-01-06 09:00:00,014
101144313633,2184.01,2026-01-06 02:00:00,008
101568914125,5243.08,2026-01-02 01:00:00,008
102195686390,3986.95,2026-01-04 00:00:00,002
101243460122,4436.38,2026-01-07 12:00:00,008
102584229481,8606.31,2026-01-03 13:00:00,008
103955225776,3007.71,2026-01-02 03:00:00,008
102644844689,624.56,2026-01-03 09:00:00,014
101182048827,5887.58,2026-01-10 04:00:00,008
101072627412,302.41,2026-01-03 16:00:00,008
101675096634,842.33,2026-01-07 01:00:00,002
102060919709,8248.03,2026-01-05 20:00:00,008
102358194108,9350.95,2026-01-09 04:00:00,014
103744806309,177.64,2026-01-01 11:00:00,008
103028410634,8118.10,2026-01-07 07:00:00,002
103444574390,6140.67,2026-01-04 07:00:00,008
103230578260,5635.94,2026-01-10 07:00:00,014
103343170727,1392.07,2026-01-01 11:00:00,008
102743165980,6411.03,2026-01-07 01:00:00,008
101112213148,8808.48,2026-01-06 07:00:00,008
101489584052,9232.73,2026-01-01 14:00:00,014
103663242632,1557.45,2026-01-10 02:00:00,014
101594806361,4318.49,2026-01-07 08:00:00,002
102404272560,9455.01,2026-01-05 21:00:00,008
101950007672,7186.14,2026-01-05 06:00:00,002
102413011995,3654.87,2026-01-02 12:00:00,014
101609893675,6727.78,2026-01-10 05:00:00,008
102646729421,4479.55,2026-01-07 09:00:00,008
103040127408,7632.56,2026-01-02 21:00:00,002
102101130839,6659.38,2026-01-07 08:00:00,014
103933461465,243.43,2026-01-02 23:00:00,002
101696180125,8428.61,2026-01-09 16:00:00,008
102944654738,4591.52,2026-01-09 18:00:00,002
103784487672,3702.66,2026-01-08 10:00:00,002
103591270397,9733.06,2026-01-03 18:00:00,008
101110338158,4502.78,2026-01-05 01:00:00,008
101310181137,9471.40,2026-01-03 13:00:00,008
101059459686,3565.02,2026-01-02 22:00:00,008
103081672050,2155.08,2026-01-01 11:00:00,008
101088333474,3270.85,2026-01-04 20:00:00,008
102402200431,2367.22,2026-01-03 15:00:00,008
102457699257,7200.42,2026-01-09 15:00:00,008
101030161980,4420.24,2026-01-05 08:00:00,008
101003088060,8446.59,2026-01-10 03:00:00,002
101056865291,3770.73,2026-01-04 00:00:00,014
101706473786,6488.93,2026-01-03 08:00:00,008
102602822059,8179.62,2026-01-02 09:00:00,008
102832848496,5368.11,2026-01-05 00:00:00,014
101495710416,4601.32,2026-01-07 14:00:00,014
102154261396,8966.88,2026-01-01 02:00:00,014
103971042500,7463.62,2026-01-02 18:00:00,002
102749493927,2530.63,2026-01-02 13:00:00,014
102051232041,254.11,2026-01-04 03:00:00,002
102826996224,5538.21,2026-01-08 23:00:00,014
101789821636,1268.61,2026-01-02 03:00:00,014
101016281796,7298.48,2026-01-05 13:00:00,008
101826172370,2267.61,2026-01-04 14:00:00,002
103738553914,9530.96,2026-01-03 00:00:00,002
102240377239,6691.04,2026-01-04 04:00:00,008
101370786918,7518.04,2026-01-05 04:00:00,014
102131729226,6232.51,2026-01-08 06:00:00,014
101497076533,6650.49,2026-01-09 03:00:00,014
103563414402,1231.39,2026-01-06 20:00:00,008
103288795673,4425.44,2026-01-07 10:00:00,014
101370636520,862.94,2026-01-03 06:00:00,008
104024381969,8186.15,2026-01-04 15:00:00,008
102924558189,4533.64,2026-01-08 01:00:00,002
102662737987,4336.84,2026-01-02 04:00:00,008
102498056197,7116.55,2026-01-01 06:00:00,002
103978241202,7691.01,2026-01-04 13:00:00,014
103406113930,3593.82,2026-01-07 20:00:00,002
102803414566,9753.48,2026-01-08 00:00:00,008
101344115960,7788.18,2026-01-05 06:00:00,002
102902527249,7421.25,2026-01-10 00:00:00,008
104025614528,2194.91,2026-01-07 05:00:00,014
103136091653,3865.38,2026-01-04 13:00:00,014
104011045824,3890.29,2026-01-09 08:00:00,008
103552416946,6411.48,2026-01-05 18:00:00,008
103719254478,1292.66,2026-01-09 19:00:00,008
102122369371,4936.31,2026-01-08 21:00:00,014
104192228999,6093.18,2026-01-06 23:00:00,008
103620184339,5590.46,2026-01-03 15:00:00,008
104032326459,8636.89,2026-01-09 22:00:00,002
101990499757,3835.21,2026-01-07 15:00:00,014
103524903840,7888.65,2026-01-08 08:00:00,014
103670063733,2118.47,2026-01-10 01:00:00,002
101355514296,730.69,2026-01-04 18:00:00,014
102855475692,1162.83,2026-01-08 02:00:00,014
103760795062,3039.19,2026-01-08 12:00:00,008
102837682863,8020.01,2026-01-07 20:00:00,008
102458834887,7069.25,2026-01-07 23:00:00,008
101933033559,5341.10,2026-01-09 04:00:00,002
102176456386,8039.62,2026-01-04 11:00:00,002
104225852688,7500.60,2026-01-07 12:00:00,014
103747844045,8796.54,2026-01-03 04:00:00,002
103532471638,7816.57,2026-01-09 17:00:00,008
102995109680,1212.67,2026-01-02 17:00:00,008
101339127497,8215.81,2026-01-09 06:00:00,014
101839303833,1641.25,2026-01-09 02:00:00,002
101808668685,4416.22,2026-01-03 15:00:00,014
101618719793,401.60,2026-01-03 11:00:00,008
102116519809,8093.66,2026-01-07 23:00:00,008
103079913497,5092.09,2026-01-03 23:00:00,002
101367924299,1688.94,2026-01-06 16:00:00,002
101759700749,9854.22,2026-01-03 10:00:00,008
102407256210,1996.12,2026-01-10 17:00:00,008
103360894590,4156.67,2026-01-10 04:00:00,014
103061127727,886.80,2026-01-06 18:00:00,014
103598996225,3489.98,2026-01-02 20:00:00,008
101106266402,1977.35,2026-01-10 02:00:00,002
103213689798,5115.86,2026-01-05 15:00:00,014
101597289577,2816.72,2026-01-06 12:00:00,014
103027995530,2145.63,2026-01-07 17:00:00,014
104284383300,6204.00,2026-01-02 09:00:00,002
103589505242,7638.55,2026-01-08 17:00:00,014
102345908555,4522.87,2026-01-02 21:00:00,008
103139268663,9348.76,2026-01-10 16:00:00,014
103780500207,9447.74,2026-01-08 02:00:00,008
102880066318,1106.58,2026-01-09 12:00:00,014
101018993697,4129.24,2026-01-04 05:00:00,014
103149017411,8920.50,2026-01-02 21:00:00,002
102919815122,6751.41,2026-01-01 23:00:00,008
102741669187,5620.12,2026-01-08 18:00:00,014
102322465714,9375.82,2026-01-03 19:00:00,008
103701039733,3933.33,2026-01-09 05:00:00,014
101553586386,4893.41,2026-01-06 14:00:00,008
101970976650,2235.43,2026-01-03 07:00:00,014
103738084763,7488.84,2026-01-08 06:00:00,002
101808551141,9931.47,2026-01-07 10:00:00,014
103757009832,1529.41,2026-01-06 13:00:00,002
102379144691,6516.66,2026-01-08 01:00:00,008
102782416029,7857.27,2026-01-08 11:00:00,002
103135394868,1672.44,2026-01-07 22:00:00,008
101332130618,8944.60,2026-01-07 05:00:00,008
101725530690,967.87,2026-01-04 20:00:00,008
101045152756,6226.71,2026-01-06 00:00:00,008
101126315843,7807.35,2026-01-05 06:00:00,008
103628477616,8107.66,2026-01-04 14:00:00,008
