transaction_id,terminal_rrn,amount,transaction_type,bank_code,transaction_time
103706550096,101584056476,7323.70,DEBIT,014,2026-01-07 20:00:00
101009484649,103698385718,2762.09,CREDIT,014,2026-01-06 15:00:00
101776080106,102457340751,1904.65,DEBIT,002,2026-01-06 00:00:00
101599716204,101694316249,8088.33,DEBIT,002,2026-01-03 17:00:00
101365054846,104150918701,7404.98,DEBIT,014,2026-01-10 16:00:00
101403120755,101279920944,976.58,DEBIT,008,2026-01-08 05:00:00
101988307854,103314287999,7840.53,CREDIT,002,2026-01-08 19:00:00
101407337653,102333616390,3534.00,CREDIT,002,2026-01-07 18:00:00
104280330528,102021985217,7842.02,CREDIT,008,2026-01-04 00:00:00
103308177510,102547348739,8735.41,CREDIT,014,2026-01-06 07:00:00
101233477802,103962757273,8186.01,CREDIT,008,2026-01-09 16:00:00
101194100004,101238068725,1509.85,DEBIT,008,2026-01-01 23:00:00
101268536349,102753366302,9318.06,CREDIT,002,2026-01-04 12:00:00
101428501351,103131338340,5016.48,CREDIT,008,2026-01-05 12:00:00
104058857925,101510401734,5363.99,CREDIT,014,2026-01-06 06:00:00
103322362964,103674655404,613.26,CREDIT,008,2026-01-08 18:00:00
101876794623,102153562620,3027.72,DEBIT,002,2026-01-07 02:00:00
102131670355,102425350224,4523.36,DEBIT,008,2026-01-02 05:00:00
102848868919,102562718684,1148.74,DEBIT,002,2026-01-06 22:00:00
101073389125,102813348816,4871.39,DEBIT,008,2026-01-07 13:00:00
101916535810,101402830450,7998.16,DEBIT,014,2026-01-08 11:00:00
102605858880,101959992643,6098.06,CREDIT,014,2026-01-09 21:00:00
101000131993,102403084247,5590.00,CREDIT,014,2026-01-04 21:00:00
101829657869,101430281358,8585.45,DEBIT,008,2026-01-04 05:00:00
102424602070,103288644427,7966.52,CREDIT,002,2026-01-02 02:00:00
102242679654,103204257656,3321.06,CREDIT,002,2026-01-04 10:00:00
101951433061,103733764463,2527.06,CREDIT,008,2026-01-02 23:00:00
104236909190,101154559817,6983.03,DEBIT,008,2026-01-07 11:00:00
103192516817,101690305276,5031.54,CREDIT,002,2026-01-09 16:00:00
103178992644,101282389748,5121.32,CREDIT,002,2026-01-02 12:00:00
104011271153,103608938942,6204.77,DEBIT,008,2026-01-09 15:00:00
102430339733,101735940875,8531.39,CREDIT,002,2026-01-06 17:00:00
101572624010,103817489193,8259.38,CREDIT,008,2026-01-05 22:00:00
101197943778,101678972987,5549.12,CREDIT,008,2026-01-01 06:00:00
103079183363,101610804047,9641.17,CREDIT,002,2026-01-06 18:00:00
103121697892,101435502951,4693.46,DEBIT,002,2026-01-05 10:00:00
104206236296,103887588464,5055.59,CREDIT,002,2026-01-02 08:00:00
101008995306,102170481548,1930.14,DEBIT,008,2026-01-03 16:00:00
101723185609,103298538186,6511.28,DEBIT,008,2026-01-05 05:00:00
102069848107,102497592616,7413.92,CREDIT,008,2026-01-02 01:00:00
101143689884,103890213573,8210.91,CREDIT,008,2026-01-05 09:00:00
103360496779,101399295499,2164.61,CREDIT,002,2026-01-08 21:00:00
102490873489,101298343394,1807.52,DEBIT,008,2026-01-01 08:00:00
101875023654,101206085032,8066.71,DEBIT,002,2026-01-06 21:00:00
103689663890,101879399057,4970.84,CREDIT,008,2026-01-09 08:00:00
101235808727,103784276692,3399.77,DEBIT,014,2026-01-02 18:00:00
101120794067,103904009936,3032.42,CREDIT,008,2026-01-10 00:00:00
101364447012,102614644368,1114.53,DEBIT,014,2026-01-08 23:00:00
101107604043,102237880730,1270.91,CREDIT,014,2026-01-04 19:00:00
101517130688,103052195523,4786.93,CREDIT,014,2026-01-08 08:00:00
104261440468,101209764399,7564.02,CREDIT,008,2026-01-08 19:00:00
101570126101,102987877398,2365.40,DEBIT,014,2026-01-10 01:00:00
101357254242,104103287377,3686.97,CREDIT,014,2026-01-04 02:00:00
102557589748,103398043025,9684.69,DEBIT,014,2026-01-04 15:00:00
101893596920,103543294317,7125.94,DEBIT,014,2026-01-10 08:00:00
102480184523,101802764997,3319.53,DEBIT,008,2026-01-09 18:00:00
102088369028,103881003268,1664.54,DEBIT,002,2026-01-06 23:00:00
104053760958,101505292477,2655.87,DEBIT,014,2026-01-01 18:00:00
101736767727,103295376364,219.33,CREDIT,002,2026-01-03 22:00:00
102410083130,101479312502,6761.94,DEBIT,008,2026-01-06 12:00:00
103151314998,102798958286,754.92,CREDIT,008,2026-01-04 22:00:00
102352676160,101673240643,8359.64,CREDIT,014,2026-01-04 02:00:00
101276705330,104294929713,3410.03,CREDIT,002,2026-01-01 20:00:00
102403176259,101751964374,7969.04,DEBIT,014,2026-01-10 11:00:00
101251726567,101653771569,7474.60,CREDIT,002,2026-01-08 19:00:00
104109365388,103509259105,8058.12,DEBIT,014,2026-01-02 18:00:00
103010493561,101694108469,1545.85,DEBIT,014,2026-01-04 02:00:00
101512142406,103959818173,6271.43,DEBIT,008,2026-01-04 15:00:00
102458174466,102097518849,2161.01,CREDIT,002,2026-01-08 17:00:00
103595121007,101969436268,3544.44,CREDIT,014,2026-01-08 12:00:00
102943050928,103406626800,6844.17,CREDIT,008,2026-01-02 16:00:00
101336996672,101329045005,251.66,CREDIT,014,2026-01-10 04:00:00
104026217089,101358205874,6472.81,DEBIT,008,2026-01-04 22:00:00
101784686111,102162647473,5646.29,CREDIT,008,2026-01-05 22:00:00
101727846803,101241750820,8078.55,DEBIT,014,2026-01-06 06:00:00
101851775371,102992322385,8008.40,CREDIT,014,2026-01-08 04:00:00
102528738090,101546844830,1629.69,DEBIT,014,2026-01-08 10:00:00
102701062402,101333767169,4223.33,DEBIT,014,2026-01-09 03:00:00
102539087212,101989088095,3999.64,DEBIT,008,2026-01-03 21:00:00
101719104412,102638764885,1845.01,CREDIT,002,2026-01-02 19:00:00
101262016905,103319507303,3611.21,CREDIT,014,2026-01-03 13:00:00
101366880225,102035665203,4864.48,CREDIT,014,2026-01-03 12:00:00
103865044546,101836079886,6870.46,CREDIT,008,2026-01-02 07:00:00
102217480109,101806521006,2351.30,DEBIT,014,2026-01-01 21:00:00
101040721277,103978436900,5489.38,DEBIT,008,2026-01-07 03:00:00
101459510550,101901929318,1037.28,CREDIT,002,2026-01-09 15:00:00
101595937613,101104968864,1600.89,DEBIT,008,2026-01-04 20:00:00
102271266470,102307337847,8152.93,DEBIT,002,2026-01-06 16:00:00
101906722291,101693501078,9405.93,DEBIT,008,2026-01-09 22:00:00
103380928259,103963626734,2744.49,DEBIT,014,2026-01-02 15:00:00
102674674699,104115856507,7272.49,CREDIT,008,2026-01-04 18:00:00
102255158064,102607484360,9361.13,CREDIT,008,2026-01-03 15:00:00
101425290296,103132552621,6488.09,DEBIT,008,2026-01-09 00:00:00
103804659413,101894175641,7492.51,CREDIT,008,2026-01-08 20:00:00
103775594953,101243948746,4687.13,DEBIT,002,2026-01-06 10:00:00
103546620743,101213182407,8921.00,DEBIT,008,2026-01-04 17:00:00
103217782779,101350831522,9857.90,CREDIT,008,2026-01-09 05:00:00
101644276115,102130730859,4226.81,CREDIT,014,2026-01-07 07:00:00
101484871195,103625938625,5611.88,CREDIT,008,2026-01-04 23:00:00
103535510791,101203802425,920.51,CREDIT,008,2026-01-04 14:00:00
103355917779,101373760820,8672.59,CREDIT,014,2026-01-04 23:00:00
101403090602,101349830259,3625.84,CREDIT,008,2026-01-09 06:00:00
103380543787,101352257996,6482.75,DEBIT,014,2026-01-02 09:00:00
101763229081,102218464299,2479.53,DEBIT,014,2026-01-05 05:00:00
102603029783,103224100495,5725.44,CREDIT,002,2026-01-09 12:00:00
101994928336,103416577774,3857.30,CREDIT,008,2026-01-03 13:00:00
103661982674,101134803765,8502.05,DEBIT,014,2026-01-06 09:00:00
101144313633,102368462750,2184.01,DEBIT,008,2026-01-06 02:00:00
101568914125,101339759847,5243.08,CREDIT,008,2026-01-02 01:00:00
102195686390,101547819464,3986.95,DEBIT,002,2026-01-04 00:00:00
101243460122,102006441072,4436.38,CREDIT,008,2026-01-07 12:00:00
102584229481,101449756733,8606.31,DEBIT,008,2026-01-03 13:00:00
103955225776,102198785188,3007.71,CREDIT,008,2026-01-02 03:00:00
102644844689,101071561334,624.56,DEBIT,014,2026-01-03 09:00:00
101182048827,103750916828,5887.58,DEBIT,008,2026-01-10 04:00:00
101072627412,102785553971,302.41,CREDIT,008,2026-01-03 16:00:00
101675096634,102983983325,842.33,DEBIT,002,2026-01-07 01:00:00
102060919709,102122553936,8248.03,CREDIT,008,2026-01-05 20:00:00
102358194108,101868128476,9350.95,CREDIT,014,2026-01-09 04:00:00
103744806309,103446510479,177.64,CREDIT,008,2026-01-01 11:00:00
103028410634,102204674891,8118.10,DEBIT,002,2026-01-07 07:00:00
103444574390,101544448772,6140.67,DEBIT,008,2026-01-04 07:00:00
103230578260,101500014259,5635.94,DEBIT,014,2026-01-10 07:00:00
103343170727,101950336895,1392.07,DEBIT,008,2026-01-01 11:00:00
102743165980,101979875067,6411.03,CREDIT,008,2026-01-07 01:00:00
101112213148,103387820764,8808.48,CREDIT,008,2026-01-06 07:00:00
101489584052,103954328684,9232.73,DEBIT,014,2026-01-01 14:00:00
103663242632,102636132177,1557.45,DEBIT,014,2026-01-10 02:00:00
101594806361,103337093310,4318.49,DEBIT,002,2026-01-07 08:00:00
102404272560,101937122597,9455.01,CREDIT,008,2026-01-05 21:00:00
101950007672,104051763143,7186.14,DEBIT,002,2026-01-05 06:00:00
102413011995,102114560433,3654.87,CREDIT,014,2026-01-02 12:00:00
